Dataset,Train Acc,Std(Train Acc),Test Acc,Std(Test Acc),Support Vectors,std(Support Vectors),,C,Gamma
1,81.673,5.7104,73.043,3.8941,84.2,70.244,0.00048828,0.0019531,4956.8
2,93.148,8.2194,78.889,5.7972,67.6,51.776,1.91E-06,0.5,153.65
3,76.877,2.3724,73.205,0.79094,11.4,9.4499,0.0019531,0.0019531,397.59
4,92.126,10.416,80.669,7.9868,44.8,37.493,7.63E-06,2,44.248
5,98.647,1.1911,90.6,5.5846,85,33.734,2.98E-08,0.03125,424.75
6,78.778,2.4229,78.073,2.3012,13.6,12.157,2,0.0019531,5735.7
7,99.661,0.75898,98.223,1.3148,285.2,174.05,2,0.0019531,7148.6
8,99.81,0.42592,78.889,12.632,39.8,9.8843,1.19E-07,0.125,41.018
9,97.874,2.9289,76.251,10.461,35.8,5.933,1.19E-07,0.03125,26.604
10,99.025,1.7021,95.172,2.4918,109,23.664,0.0019531,0.125,504.68
11,90.583,8.4759,76.667,8.8976,65.6,38.507,2.98E-08,0.03125,195.1
12,99.25,0.68481,87.038,4.3233,6.2,0.44721,2,2,23.724
13,93.881,3.8762,81.456,5.5799,158.4,48.916,0.0019531,0.0019531,2950.4
14,81.703,16.62,66.957,5.4372,97,135.04,7.63E-06,0.0019531,2783.7
15,85.12,1.5358,82.209,4.4685,29.8,6.5345,0.125,0.0019531,9326.9
16,84.95,4.0113,73.7,2.1679,168.8,53.598,1.19E-07,0.03125,9100.1
17,98.009,4.1942,76.973,9.841,201.8,83.494,1.91E-06,0.03125,866.98
18,99.648,0.78804,97.182,1.1536,170.6,53.701,0.03125,0.5,2154.1
19,96.301,5.1164,61.982,9.4828,45.6,10.164,2,2,72.119
20,99.879,0.27104,87.082,7.3935,79,1.4142,3.05E-05,0.03125,83.628
21,98.739,0.79989,94.046,2.6977,106.8,28.066,0.00012207,0.0019531,500.9
22,98.675,2.9624,93.363,0.13851,317.2,523.13,2,2,15610
23,97.441,1.8867,97.048,0.48067,22,13.096,1.19E-07,0.125,1522.6
24,95.456,3.0241,85.226,3.5052,60.6,55.066,0.0078125,0.0019531,2393.3
25,97.616,1.6273,94.202,10.485,14,26.287,1.19E-07,0.0019531,110.49
26,100,0,76,6.5499,61.2,1.3038,2,2,49.167
27,99.821,0.3993,95.714,5.8685,29.8,16.858,0.0019531,0.03125,43.55
28,92.493,1.5788,82.87,7.9979,13.2,3.5637,2,2,21.384
29,94.292,12.764,70.999,4.2894,156,87.51,2,2,2939.2
30,80.573,11.363,56.526,7.8096,17.2,12.478,2,0.125,22.075
